###############################################################
#  Generated by:      Cadence Innovus 19.11-s128_1
#  OS:                Linux x86_64(Host ID cn92.it.auth.gr)
#  Generated on:      Sat Dec 24 18:59:52 2022
#  Design:            picorv32
#  Command:           report_timing > ex2.2report_timing_vima15.txt
###############################################################
Path 1: MET Late External Delay Assertion 
Endpoint:   mem_la_addr[31] (v) checked with  leading edge of 'clk'
Beginpoint: resetn          (^) triggered by  leading edge of 'clk'
Path Groups: {clk}
Analysis View: default_emulate_view
Other End Arrival Time          0.000
- External Delay                1.000
+ Phase Shift                  10.000
- Uncertainty                   0.050
= Required Time                 8.950
- Arrival Time                  2.565
= Slack Time                    6.385
     Clock Rise Edge                      0.000
     + Input Delay                        1.000
     + Drive Adjustment                   0.043
     = Beginpoint Arrival Time            1.043
     +---------------------------------------------------------------------------------------+ 
     |         Instance         |        Arc        |   Cell    | Delay | Arrival | Required | 
     | inc_add_382_74_g397      | B ^ -> Y v        | NAND2X1   | 0.026 |   2.090 |    8.475 | 
     | inc_add_382_74_g395      | B v -> Y ^        | NOR2BX1   | 0.023 |   2.114 |    8.499 | 
     | inc_add_382_74_g393      | A ^ -> Y ^        | AND2X1    | 0.033 |   2.146 |    8.531 | 
     | inc_add_382_74_g391      | A ^ -> Y ^        | AND2X1    | 0.041 |   2.187 |    8.572 | 
     | inc_add_382_74_g389      | B ^ -> Y v        | NAND2X1   | 0.034 |   2.221 |    8.606 | 
     | inc_add_382_74_g387      | B v -> Y ^        | NOR2BX1   | 0.029 |   2.250 |    8.635 | 
     | inc_add_382_74_g385      | B ^ -> Y v        | NAND2X1   | 0.026 |   2.276 |    8.661 | 
     | inc_add_382_74_g383      | B v -> Y v        | XNOR2X1   | 0.034 |   2.310 |    8.695 | 
     | g188365                  | B v -> Y v        | MX2XL     | 0.031 |   2.341 |    8.726 | 
     | FE_OFC403_mem_la_addr_31 | A v -> Y ^        | INVXL     | 0.025 |   2.366 |    8.751 | 
     | FE_OFC404_mem_la_addr_31 | A ^ -> Y v        | INVX1     | 0.015 |   2.381 |    8.766 | 
     | FE_OFC608_mem_la_addr_31 | A v -> Y ^        | INVX1     | 0.016 |   2.397 |    8.782 | 
     | FE_OFC609_mem_la_addr_31 | A ^ -> Y v        | INVX1     | 0.025 |   2.422 |    8.807 | 
     | FE_OFC979_mem_la_addr_31 | A v -> Y v        | CLKBUFX20 | 0.129 |   2.551 |    8.936 | 
     |                          | mem_la_addr[31] v |           | 0.014 |   2.565 |    8.950 | 
     +---------------------------------------------------------------------------------------+ 

